Id,Code,Name,Description,Category
0,GIST,Geographic Information Science and Technology,Geographic Information Science and Technology,NONE
1,AM,Analytical Methods,This knowledge area encompasses a wide variety of operations whose objective is to derive analytical results from geospatial data. Data analysis seeks to understand both first-order (environmental) effects and second-order (interaction) effects. Approaches that are both data-driven (exploration of geospatial data) and model-driven (testing hypotheses and creating models) are included. Data driven techniques derive summary descriptions of data - evoke insights about characteristics of data - contribute to the development of research hypotheses - and lead to the derivation of analytical results. The goal of model driven analysis is to create and test geospatial process models. In general - model-driven analysis is an advanced knowledge area where previous experience with exploratory spatial data analysis would constitute a desired prerequisite. Visual tools for data analysis are covered in Knowledge Area: Cartography and Visualization (CV) and many of the fundamental principles required to ground data analysis techniques are introduced in Knowledge Area: Conceptual Foundations (CF). Image processing techniques are considered in Knowledge Area: Geospatial Data (GD). All of the methods described in this knowledge area are more or less sensitive to data error and uncertainty as covered in Unit GC8 Uncertainty and Unit GD6 Data quality. Mastery of the educational objectives outlined in this knowledge area requires knowledge and skills in mathematics - statistics - and computer programming.,NONE
2,AM1-2,Analytical approaches,Analytical capabilities of a GIS make use of spatial and non-spatial (attribute) data to answer questions and solve problems that are of spatial relevance. We now make a distinction between analysis (or analytical operations) and analytical models (often referred to as “modelling”). And by analysis we actually mean only a subset of what is usually implied by the term: we do not specifically deal with advanced statistical analysis (such as cluster detection or geostatistics).\r\rAnalysis of spatial data can be defined as computing new information to provide new insights from existing spatial data. Consider an example from the domain of road construction. In mountainous areas - this is a complex engineering task with many cost factors - including the number of tunnels and bridges to be constructed - the total length of the tarmac - and the volume of rock and soil to be moved. GISs can help to compute such costs on the basis of an up-to-date digital elevation model and a soil map. The exact nature of the analysis will depend on the application requirements - but computations and analytical functions can operate on both spatial and non-spatial data.,NONE
3,AM1,Foundations of analytical methods,Geospatial data analysis has foundations in many different disciplines. As a result - there are many different schools of thought or analytical approaches including spatial analysis - spatial modeling - geostatistics - spatial econometrics - spatial statistics - qualitative analysis - map algebra - and network analysis. This unit compares and contrasts these approaches.,NONE
4,AM10-1,Problems of large spatial databases,Difficulties in dealing with large spatial databases - especially those arising from spatial heterogeneity and data quality issues.,NONE
5,AM10-2,Data mining approaches,Data mining knows a variety of approaches - such as cluster analysis - analytical reasoning - association - prediction - etc.,NONE
6,AM10-3,Knowledge discovery,Knowledge discovery involves the identification of useful patterns in spatial databases using techniques of data mining - trend analysis - etc.,NONE
7,AM10,Data mining,Algorithms have been developed to scan and search through extremely large data sets in order to find patterns within the data. These data mining and knowledge discovery techniques have been expanded to the spatial case. Legal and ethical concerns associated with such practices are considered in Knowledge Areas GS GIS and T and Society and OI Organizational and Institutional Aspects.,NONE
8,AM11-1,Networks defined,A network is a connected set of lines representing some geographic phenomenon - typically to do with transportation. The “goods” transported can be almost anything: people - cars and other vehicles along a road network - commercial goods along a logistic network - phone calls along a telephone network - or water pollution along a stream/river network.\r\rDirect vs. Non-directed Networks\rA fundamental characteristic of any network is whether the network lines are considered to be directed or not. Directed networks associate with each line a direction of transportation; undirected networks do not. In the latter - the “goods” can be transported along a line in both directions. We discuss here vector network analysis - and assume that the network is a set of connected line features that intersect only at the lines’ nodes - not at internal vertices. (But we do mention under- and overpasses.)\r\rPlanar vs. Non-Planar Networks\rFor many applications of network analysis - a planar network - i.e. one that can be embedded in a two-dimensional plane - will do the job. Many networks are naturally planar - such as stream/river networks. A large-scale traffic network - on the other hand - is not planar: motorways have multi-level crossings and are constructed with underpasses and overpasses. Planar networks are easier to deal with computationally - as they have simpler topological rules. Not all GISs accommodate non-planar networks - or they can only do so using “tricks”. These tricks may involve the splitting of overpassing lines at the intersection vertex and the creation of four lines from the two original lines. Without further attention - the network will then allow one to make a turn onto another line at this new intersection node - which in reality would be impossible. In some GISs we can allocate a cost for turning at a node—see our discussion on turning costs below—and that cost - in the case of the overpass trick - can be made infinite to ensure it is prohibited. But - as mentioned - this is a work around to fit a non-planar situation into a data layer that presumes planarity. The above is a good illustration of geometry not fully determining the network’s behaviour. Additional application-specific rules are usually required to define what can and cannot happen in the network. Most GISs provide rule-based tools that allow the definition of these extra application rules.,NONE
9,AM11-2,Graph theoretic descriptive measures of networks,Identifying and listing all elements does not describe a system in full. There may be many different ways in which elements may be connected or related to each other. The interactions - relationships between elements are essential to describe a system.\r\rRelationships between elements can be described by two types of flows:\rflows of material - and flows of information.\r\rMaterial flows connect elements between which there is an exchange of some substance. This can be some kind of material (water - food - cement - biomass - etc.) - energy (light - heat - electricity - etc.) - money - etc. It is something that can be measured and tracked. Also if an element is a donor of this substance the amount of substance in this element will decrease as a result of the exchange - while at the same time the amount of this substance will increase in the receptor element. There is always a mass - or energy conservation law in place. Nothing appears from nothing - and nothing can disappear to nowhere.\r\rThe second type of exchange is with an information flow. In this case element A gets information from element B. Element B at the same time may have no information about element A. Even when element A gets information about B - B does not lose anything. Information can be about the state of an element - about the quantity that it contains - about its presence or absence - etc. Information flows can be used to describe rules and policies. Information flows can modify the rates of flow between elements - they can switch certain processes and interactions on and off. But the process through which policies - interventions and norms for action are established - and could for example define the values of such information flows - are themselves the result of social interaction between relevant stakeholders from public - private or civil society.\r\rThe simplest is to acknowledge the existence of a relationship between certain elements - like this is done in a graph. In a graph a node presents an element and a link between any two nodes shows that these two elements are related. However there is no evidence of the direction of the relationship: we do not distinguish between the element x influencing element y or vice versa. This relationship can be further specified by an oriented graph that shows the direction of the relationship between elements. An element can be also connected to itself - to show that its behaviour depends on its state. We can further detail the description by identifying whether element x has a positive or negative effect on element y.\r\rWith networks - interesting questions arise that have to do with connectivity and network capacity. These relate to applications such as traffic monitoring and watershed management. With network elements—i.e. the lines that make up the network—extra values are commonly associated - such as distance - quality of the link or the carrying capacity.,NONE
10,AM11-3,Least-cost shortest path,Optimal-path finding techniques are used when a least-cost path between two nodes in a network must be found. The two nodes are called origin and destination. The aim is to find a sequence of connected lines to traverse from the origin to the destination at the lowest possible cost.\r\rIn Optimal-path finding - the cost function can be simple: for instance - it can be defined as the total length of all lines of the path. The cost function can also be more elaborate and take into account not only length of the lines but also their capacity - maximum transmission (travel) rate and other line characteristics - for instance to obtain a reasonable approximation of travel time. There can even be cases in which the nodes visited add to the cost of the path as well. These may be called turning costs - which are defined in a separate turning-cost table for each node - indicating the cost of turning at the node when entering from one line and continuing on another. This is illustrated in Figure 1 of the examples.\r\rProblems related to optimal-path finding may require ordered optimal path finding or unordered optimal-path finding. Both have as an extra requirement that a number of additional nodes need to be visited along the path. In ordered optimal-path finding - the sequence in which these extra nodes are visited matters; in unordered optimal-path finding it does not.,NONE
11,AM11-4,Flow modeling,There are phenomena  that do not spread in all directions - but move or “flows” along a given - least-cost path - determined by characteristics of local terrain. The typical case arises when we want to determine drainage patterns in a catchment area: rain water “chooses” a way to leave the area. \r\rWe can illustrate the principles involved in this typical case with a simple elevation raster. For each cell in that raster - the steepest downward slope to a neighbour cell is computed and its direction is stored in a new raster. This computation determines the elevation difference between the cell and the neighbour cell and it takes into account cell distance - 1 for neighbour cells in N–S or W–E direction - 2 for cells in a NE–SW or NW–SE direction. From among its eight neighbour cells - it picks the one with the steepest path to it. The directions thus obtained in an output raster are encoded in integer values - which can be called the flow-direction raster. From this raster - the GIS can compute the accumulated flow-count raster - a raster that for each cell indicates how many cells have their water flow into that cell.\r\rCells with a high accumulated flow count represent areas of concentrated flow and may - thus - belong to a stream. By using some appropriately chosen threshold value in a map algebra expression - we may decide whether they do or not. Cells with an accumulated flow count of zero are local topographic highs and can be used to identify ridges.,NONE
12,AM11-5,The Classic Transportation Problem,The Classic Transportation Problem considers minimizing the cost of getting an object or subject from origin to destination.,NONE
13,AM11-6,Other classic network problems,Classic network problems are examples of networking problems such as the Traveling Salesman Problem and the Chinese Postman Problem that need graph algorithms to be solved.,NONE
14,AM11-7,Accessibility modeling,Accessibility is the extend in which it is difficult/easy to reach a location or object.,NONE
15,AM11,Network analysis,Network analysis encompasses a wide range of procedures - techniques - and methods that allow for the examination of phenomena that can be modeled in the form of connected sets of edges and vertices. Such sets are termed a network or a graph - and the mathematical basis for network analysis is known as graph theory. Graph theory contains descriptive measures and indices of networks such as connectivity - adjacency - capacity - and flow as well as methods for proving the properties of networks. Networks have long been recognized as an efficient way to model many types of geographic data - including transportation networks - river networks - and utility networks electric - cable - sewer and water - etc. to name just a few. The data structures to support network analysis are covered in [DM4-7] Network models.,NONE
16,AM12-1,Operations research modeling and location modeling principles,The modeling of problems in a formal language - working in a solution space and applying constraints.,NONE
17,AM12-2,Linear programming,A formal programming method to support operational research in which linear constraints are applied.,NONE
18,AM12-3,Integer programming,A formal programming method to support operational research in which variables are constrained to integers.,NONE
19,AM12-4,Location-allocation modeling and p-median problems,Location-allocation modeling involves the determination of locations by minimizing the distance between object/subjects in space - such as between customers and facilities.,NONE
20,AM12,Optimization and location-allocation modeling,A wide variety of optimization techniques are now solvable within the GIS and T domain. Operations research is a branch of mathematics practiced in the allied fields of business and engineering. New models and software tools allow for the solution of transportation routing - facility location - and a host of other location-allocation modeling problems.,NONE
21,AM13-1,Impacts of transformations,The effects such as the loss of data quality and data integrity that are the results of data transformations.,NONE
22,AM13-2,Data model and format conversion,A data model is an abstract model that organizes elements of data and standardizes how they relate to one another and to the properties of real-world entities. The term data model can refer to two distinct but closely related concepts. In relation to the field of geoinformation the term data model refers to the set of concepts used in defining such formalizations as entities - attributes - relations - tables which is implemented by a mathematical construct for representing geographic objects or surfaces as data. There are two most frequently used data models - which are vector and raster. For example - the vector data model represents geography as collections of points - lines and polygons and more complex structures crated from these three. The raster data model represent geography as cell matrices that store numeric values. Among these two data models we also stand out data formats in which data sets can be stored. File format is a standard of encoding geographical information into a computer file. There are the following basic file formats for encoding data:\rFor vectors:\r-	Shapefile\r-	Geography Markup Language (GML)\r-	XYZ Point Cloud\r-	GeoJSON\r-	GeoMedia\r-	\rFor rasters:\r-	GeoTIFF\r-	IMG\r-	JPEG2000\r-	Esri grid\rThe GIS projects often require the conversion of the data formats. Data conversion is the process of moving data from one format to another - whether it is from one data model to another or from one data format to another. Data conversion is a complex process which is not only associated with changing the binary format of the file but also requires changing the structure of the data. For example - the GML data format always comes with an UML diagram - which is necessary to convert attributes stored in GML structure for example to a table of contest in a shapefile data format. In a well-managed GIS project it is important to store data in specific data model or data format. It is sometimes dictated by software capabilities and another times by team’s technical capabilities. With large amounts of geographic data used in the project it is more cost-effective to convert the data from one format to another than re-create it.,NONE
23,AM13-3,Interpolation,Interpolation is used to create a GIS layer out of point observations on a continuous variable. The reason for doing this could be manifold: for visualization purposes - for making a proper reference with other data - or for making a combination of different layers.,NONE
24,AM13-4,Vector-to-raster and raster-to-vector conversions,Any vector data containing point - polyline - polygon can be converted into the raster dataset and vice versa. The vector data can be stored in shapefiles - databases or various others GIS file formats. The raster data are made of pixels or grid calls and can be represented by the discrete - categorical data (e.g. land cover map) or non-discrete - continuous data (e.g. satellite images - surface data). The process of conversion of vector to raster data is called rasterization. The vector to raster conversion requires the following parameters: the field value from the attribute table used to assign values to the output raster - the pixel size for the output raster - the output raster format (i.e. geotiff - img) and optionally the method of assigning values of point - polyline or polygon to the call raster - i.e. maximum length or area - cell centre. The output of the rasterised vector looks like a gridded version of the vector and it depends on the grid cell size. The process of vectorisation refers to the conversion of raster to vector dataset. The raster dataset can be converted to vector point - polyline or polygon. In order to convert raster to vector the following parameters should be provided: attribute field of the input raster dataset which will become an attribute in the output vector class - determining if the output polygon or polyline will be smoothed into simpler shapes or conform to the input raster's cell edges (stair stepping). For each raster pixel or grid cell a point will be created at the centre of the cell. The non-discrete continuous raster data have to converted to the categorical data type before converting to vector data. The conversion of vector to raster and raster to vector degrade the data to some extent causing loss of details - accuracy - and changing the original data.,NONE
25,AM13-5,Raster resampling,Raster resampling refers to change of spatial resolution (increasing or decreasing) of the raster dataset. The resampling process calculates the new pixel values from the original digital pixel values in the uncorrected image. There are three common methods for resampling: nearest neighbour - bilinear interpolation - and cubic convolution. The nearest neighbour resampling uses the digital value from the pixel in the original image which is nearest to the new pixel location in the corrected image. This is the fastest interpolation method - which is primarily applied for discrete (categorical) raster data as it does not change the value of the pixel - but may result in some pixel values being duplicated while others are lost. Bilinear interpolation resampling takes a weighted average of four pixels in the original image nearest to the new pixel location. The averaging process alters the original pixel values and creates entirely new digital values in the output image. It is recommended for continuous data and it cause some smoothing of the data. Cubic convolution resampling is based on calculation of a distance weighted average of a block of sixteen pixels from the original image which surround the new output pixel location. As with bilinear interpolation - this method results in completely new pixel values. However - the last two methods both produce images which have a much sharper appearance and avoid the blocky appearance of the nearest neighbour method. The disadvantage of the Cubic method is that its requires more processing time.,NONE
26,AM13-6,Coordinate transformations,Users of geoinformation often need transformations from a particular 2D coordinate system to another system. This includes the transformation of polar coordinates into Cartesian map coordinates - or  the change of map projection -  transformation from one 2D Cartesian (x - y) system of a specific map projection into another 2D Cartesian (x′ - y′) system of a defined map projection. This transformation is based on relating the two systems on the basis of a set of selected points whose coordinates are known in both systems - such as ground control points or common points such as corners of houses or road intersections. Image and scanned data are usually transformed by this method. The transformations may be conformal - affine - polynomial or of another type - depending on the geometric errors in the data set. A datum transformation involves the change of the horizontal datum which is often accompanied with a change of map projection.,NONE
27,AM13,Representation transformation,GIS is a cyclical rather than a linear system - unlike computer aided drafting (CAD) and computer assisted cartographic systems. Changes in projection - grid systems - data forms - and formats take place during the modeling process for which GIS was designed. Many non-analytical manipulations are necessary to accommodate the analytical power of the GIS. The manipulations of spatial and spatio-temporal data involve two general classes of operation: 1.	Their transformation into formats that facilitate subsequent analysis 2. Generalization and aggregation that affect the accuracy and integrity of the data used for analysis (see [AM14]). Other knowledge areas have identified different forms of data structures - data models - projections - and other forms of geospatial data representation. These differences present both opportunities and challenges for analysis and modeling. The ability to transform one representation to another - in a manner that maintains the integrity of the information as much as possible - can enhance the analysis and visualization of geospatial data. The raster and vector data models are described in [DM3] Tesselation data models and [DM4] Vector data model - Feature based modelling - Applications. The principles of coordinate systems - datums - and projections are also considered in Knowledge Area [GD] Geospatial Data,NONE
28,AM14-1,Scale and generalization,In the practice of spatial data handling - one often comes across questions like “What is the resolution of the data?” or “At what scale is your data set?” Now that we have moved firmly into the digital age - these questions sometimes defy an easy answer. Map scale can be defined as the ratio between the distance on a printed map and the distance of the same stretch in the terrain.\r\rA 1:50 -000 scale map means that 1 cm on the map represents 50 -000 cm (i.e. 500 m) in the terrain. “Large-scale” means that the ratio is relatively large - so typically it means there is much detail to see - as on a 1:1000 printed map. “Small-scale” - in contrast - means a small ratio - hence less detail - as on a 1:2 -500 -000 printed map.\rDigital spatial data - as stored in a GIS - are essentially without scale: scale is a ratio notion associated with visual output - such as a map or on-screen display - not with the data that was used to produce the map or display. When digital spatial data sets have been collected with a specific map-making purpose in mind - and all maps have been designed to use one single map scale - for instance 1:25 -000 - we may assume that the data carries the characteristic of “a 1:25 -000 digital data set.”\r\rThere is a relationship between the effectiveness of a map for a given purpose and the map’s scale. The Public Works department of a city council cannot use a 1:250 -000 map for replacing broken sewer pipes - and the map of Figure 1 cannot be reproduced at scale 1:10 -000.\r\rMaps that show much detail of a small area are called large-scale maps. Scale indications on maps can be given verbally - such as “one-inch-to the- mile” - or as a representative fraction like 1:200 -000 -000 (1 cm on the map equals 200 -000 -000 cm (or 2000 km) in reality) - or by a graphic representation such as the scale bar. The advantage of using scale bars in digital environments is that its length also changes when the map is zoomed in - or enlarged - before printing. Sometimes it is necessary to convert maps from one scale to another - which may lead to problems of cartographic generalization.\r\rSpatial and temporal scales can not only be attached to processes - but also to observations. An example is given below - which summarizes the spatial and temporal scales of a few well-known Earth observation systems.\r\rScales of RS observations\rSensor              Spatial scale	  Temporal scale\rMeteosat	  Hemisphere	  15 minutes\rNOAA-AVHRR	  3000 km	  daily\rLandsat TM	  180 km	          16 days\rSpot	          60 km	          26 days (pointable),NONE
29,AM14-2,Approaches to point - line - and area generalization,Techniques that support the generalisation of map content when changing to smaller map scales. These include line simplification - object selection - etc.,NONE
30,AM14-3,Classification and transformation of attribute measurement levels,Classification is a technique for purposely removing detail from an input data set in the hope of revealing important patterns (of spatial distribution). In the process - we produce an output data set - so that the input set can be left intact. This output set is produced by assigning a characteristic value to each element in the input set - which is usually a collection of spatial features that could be raster cells or points - lines or polygons. If the number of characteristic values in the output set is small in comparison to the size of the input set - we have classified the input set.\r\rThe input data set may - itself - have been the result of a classification. In such cases we refer to the output data set as a reclassification. For example - we may have a soil map that shows different soil type units and we would like to show the suitability of units for a specific crop. In this case - it is better to assign to the soil units an attribute of suitability for the crop. Since different soil types may have the same crop suitability - a classification may merge soil units of different type into the same category of crop suitability.\r\rIn classification of vector data - there are two possible results. In the first - the input features may become the output features in a new data layer - with an additional category assigned. In other words - nothing changes with respect to the spatial extents of the original features. Figure a of Examples illustrates this first type of output. A second type of output is obtained when adjacent features of the same category are merged into one bigger feature. Such a post-processing function is called spatial merging - aggregation or dissolving. An illustration of this second type is found in Figure b of Examples. Observe that this type of merging is only an option in vector data - as merging cells in an output raster on the basis of a classification makes little sense. Vector data classification can be performed on point sets - line sets or polygon sets; the optional merge phase only makes sense for lines and polygons.\r\rUser-controlled classifications require a classification table or user interaction. GIS software can also perform automatic classification - in which a user only specifies the number of classes in the output data set. The system automatically determines the class break points. The two main techniques of determining break points being used are the equal interval technique and the equal frequency technique.\r\rEqual Interval Technique\rThe minimum and maximum values vmin and vmax of the classification parameter are determined and the (constant) interval size for each category is calculated as (vmax - vmin) ∕ n - where n is the number of classes chosen by the user. This classification is useful in that it reveals the distribution pattern - as it determines the number of features in each category.\r\rEqual Frequency Technique\rThis technique is also known as quantile classification. The objective is to create categories with roughly equal numbers of features per category. The total number of features is determined first - then - based on the required number of categories - the number of features per category is calculated. The class break points are then determined by counting off the features in order of classification parameter value.,NONE
