Id,Concepts,Name,Description,Url
0,129:130:143:144:147:158,Adnane Labbaci,University Ibn Zohr - Agadir - Morocco,https://www.researchgate.net/profile/Adnane_Labbaci
1,24:25:724:740:316:317:360:387:373:370:727:728,Agata Hościło, ,http://www.igik.edu.pl/en/a/Agata-Hoscilo
2,526,Alfredo Falconieri, ,https://orcid.org/0000-0001-6709-8370
3,539,Ana Martins, ,https://www.researchgate.net/profile/Ana-Martins-142
4,522:523:524:531:532:535:536:541:543:544:545:546:547:548:549:550:542:564:568:575:565:566:567:577:581:582:583:584:585:586:587:588:578:579:580,Andreas Kazantzidis, ,https://www.researchgate.net/profile/Andreas_Kazantzidis
5,632:604:605:606:622:617:618:620:621:619,Anke Fluhrer, ,https://www.researchgate.net/profile/Anke_Fluhrer
6,160,Ann Johnson,National Geospatial Center of Excellence - USA,https://www.linkedin.com/in/ann-johnson-gisp-36b8091a/
7,642,Antonio Pepe,National Research Council of Italy,http://www.irea.cnr.it/en/index.php?option=com_comprofiler&task=userprofile&user=141&Itemid=100
8,43:67:105,Boris Ahlin, ,http://www.igea.si/
9,688:678:693:694:721:680:687:681:700:697:698:699:682:683:684:685:686,Boris Jutzi, ,https://scholar.google.com/citations?user=ZpB02CwAAAAJ
10,127:128:135:136:137:147:159:124:166:167:168:169:172:175:177:178:187:165:237:238:239:241:242:243:244:248:249:250:251:252:253:254:255:236:900:436:139:140:141:134:240:245:246:247:257:256:171,Carlos Granell Canut,Universitat Jaume I - Spain,https://scholar.google.com/citations?user=K9jGzhQAAAAJ&hl=es
11,552:556:557:558:559:560:561:562:553:554:555:576,Carmine Serio, ,http://orcid.org/0000-0002-5931-7681
12,519,Carolina Filizzola, ,https://orcid.org/0000-0003-4013-3601
13,679,Carsten Pathe, ,https://www.geographie.uni-jena.de/Pathe
14,603:611:662:655:660,Christiane Schmullius, ,https://www.geographie.uni-jena.de/en/Schmullius.html
15,663:595:596:607:662:633:634:648:649:655:650:651:652:660:656:657:658:659:636:638:639:644:703:676:666:675:671:677:716:717:729:738:735:751:744:749:673:702:708,Clémence Dubois, ,https://www.linkedin.com/in/cl%C3%A9mence-dubois-272b8a110/?originalSubdomain=de
16,129:148,Dimitrios Alexakis,Geosat research lab. Institute for Mediterranean studies. Foundation for Research and Technology Hellas (FORTH),https://www.researchgate.net/profile/Dimitrios_Alexakis
17,570,Emanuele Ciancia, ,https://orcid.org/0000-0003-0335-2565
18,0,EO4GEO project, ,http://www.eo4geo.eu/
19,125:126:127:128:129:135:136:137:143:144:147:154:158:159:160:162:124:166:167:172:173:174:175:176:177:178:165:139:140:141:142,Estefanía Aguilar Moreno,Universitat Jaume I - Spain,https://scholar.google.com/citations?user=ECdjngIAAAAJ&hl=es
20,168:169,Fernando Benítez Páez,Universitat Jaume I - Spain,https://www.linkedin.com/in/mfbenitezp/
21,175:134,Flavio Lupia,Council for Agricultural Research and Economics,https://orcid.org/0000-0002-8379-9713
22,146,Fleur Visser,University of Worcester,https://www.researchgate.net/profile/Fleur_Visser2
23,146:720:736:315:341:318:316:317:319:327:324:323:326:325:330:328:331:340:334:332:333:336:337:338:339:351:342:343:344:345:347:349:350:431:360:380:399:383:388:391:396:394:397:405:406:424:422:425:365:373:371:372:458:435:445:439:440:441:442:443:444:446:450:447:448:449:452:454:455:456:468:756:792:760:757:758:759:764:761:762:763:771:765:766:767:768:769:770:776:772:773:774:775:779:777:778:783:780:781:790:784:787:785:786:791:788:789:803:793:795:796:797:798:799:800:801:802:794:839:807:804:805:806:812:819:813:814:815:816:817:828:820:821:822:823:824:825:826:827:831:829:830:838:832:833:834:835:836:837:469:782:871:808:809:810:811:818:854:855:850:851:852:853:840:355:384:539,Florian Albrecht, ,https://www.researchgate.net/profile/Florian_Albrecht
24,577,Francesco Marchese, ,https://orcid.org/0000-0001-7590-5638
25,63:64:65:66:68,Frank Osei, ,https://research.utwente.nl/en/persons/frank-osei
26,44,Frank Ostermann, ,https://research.utwente.nl/en/persons/frank-ostermann
27,832,Gema Casal, ,https://www.researchgate.net/profile/Gema-Casal
28,525:527:537:569:570:571:572:573:574:591,Giovanni Laneve, ,https://orcid.org/0000-0001-6108-9764
29,565,Giuseppe Mazzeo, ,https://orcid.org/0000-0002-5542-5191
30,511:530:593,Guido Masiello, ,https://orcid.org/0000-0002-7986-8296
31,51:74,Hande Erdem, ,https://vito.be/en
32,637,Henrik Persson, ,https://www.slu.se/cv/henrik-persson/
33,720:340:334:337,Jakub Walawender,Laboratory for Climatology and Remote Sensing - Faculty of Geography - Philipps University of Marburg - Germany,https://www.researchgate.net/profile/Jakub_Walawender
34,51:74,Jeroen Dries, ,https://vito.be/en
35,790,Joseph Kerski, ,https://scholar.google.com/citations?user=DiukDY8AAAAJ&hl=en
36,320:378,Klaas Pauly, ,https://www.researchgate.net/profile/Klaas_Pauly
37,321:322,Krzysztof Bakuła, ,https://orcid.org/0000-0001-7137-1667
38,600:654:643:640:641,Maciej J. Soja, ,http://mjsoja.com/
39,43:67:105,Maja Mauko, ,http://www.igea.si
40,736:315:341:318:327:324:326:330:331:340:334:336:337:338:339:351:342:343:344:345:347:349:350:431:380:383:391:396:394:397:405:406:424:422:425:366:363:365:373:371:372:458:435:439:440:441:442:443:446:450:447:448:449:452:454:455:456:468:469:384,Mariana Belgiu, ,https://research.utwente.nl/en/persons/mariana-belgiu
41,541,Mariano Lisi, ,https://orcid.org/0000-0003-0180-3609
42,688:678:693:694:721:680:687:681:700:697:698:699:682:683:684:685:686,Martin Weinmann, ,https://scholar.google.de/citations?user=OVHVsZcAAAAJ&hl=de
43,51:74,Martine Paepen, ,https://vito.be/en
44,663:603:598:632:611:607:616:662:633:634:648:649:655:651:654:660:656:661:636:643:639:664:703:665:676:666:677:704:716:709:720:725:726:753:614:680:687,Martyna A. Stelmaszczuk-Górska, ,https://orcid.org/0000-0002-3097-9278
45,148,Michael Gould,Universitat Jaume I - Spain / ESRI,https://scholar.google.com/citations?user=KxNDKZwAAAAJ&hl=es
46,22:395,Michał Kałuski, ,http://www.igik.edu.pl/en/a/Michal-Kaluski
47,771:776:779:777:783:790:784:787:785:786:839:782:871:855,Mónica Miguel-Lago, ,http://www.earsc.org
48,535,Nicola Genzano, ,https://orcid.org/0000-0001-8184-5635
49,512:513:529:519,Nicola Pergola, ,https://www.researchgate.net/profile/Nicola_Pergola
50,2:4:5:6:8:9:10:11:12:14:15:16:17:18:19:21:23:27:28:29:30:32:33:34:35:36:37:38:40:41:44:45:46:47:49:50:52:53:54:55:57:58:59:60:61:62:70:71:72:73:75:76:77:78:1:81:82:83:84:85:86:87:88:89:90:91:92:93:94:95:96:97:98:99:100:101:102:103:104:106:107:108:109:110:111:112:113:114:115:116:117:118:119:120:122:123:470:754:471,Rob Lemmens,University of Twente - Faculty of Geo-Information Science and Earth Observation (ITC),https://research.utwente.nl/en/persons/rob-lemmens
51,720,Roberto Colombo, ,http://ltda-disat.it/?page_id=9
52,569:587,Roberto Colonna, , 
53,152,Sergi Trilles Oliver,Universitat Jaume I - Spain,https://scholar.google.com/citations?user=s628OEYAAAAJ&hl=es
54,175:177:178,Shridhar Jawak,Svalbard Integrated Arctic Earth Observing System (SIOS) - Norway,https://scholar.google.com/citations?user=7qHaaAQAAAAJ&hl=en
55,426,Sindy Sterkcx, ,https://www.researchgate.net/profile/S_Sterckx
56,720:736:315:341:318:327:326:330:340:334:336:337:338:339:351:342:343:344:345:347:349:350:431:361:359:380:399:383:391:396:394:397:409:405:406:424:422:425:365:371:372:458:435:439:440:441:442:443:446:450:447:448:449:452:454:455:456:468:465:803:793:795:796:797:798:799:800:801:802:794:469:871:384,Stefan Lang, ,https://www.uni-salzburg.at/index.php?id=32483&L=1
57,51:74,Stefan Livens, ,https://vito.be/en
58,356,Stephanie Delalieux, ,https://remotesensing.vito.be/team/stephanie-delalieux
59,531:538:574,Teodosio Lacava, ,https://orcid.org/0000-0002-6732-4419
60,663:603:598:616:631:623:624:625:626:627:662:647:628:629:645:614:615:630,Thomas Jagdhuber,German Aerospace Center,https://scholar.google.de/citations?user=ZEaPq_4AAAAJ&hl=de
61,791,Tiago H. Moreira de Oliveira, ,https://www.researchgate.net/profile/Tiago_Oliveira22
62,506:594:517:507:510:511:512:513:514:515:516:508:509:530:518:522:523:524:525:526:527:528:529:519:520:521:540:531:532:533:534:535:536:537:538:551:541:543:544:545:546:547:548:549:550:542:563:557:558:559:560:561:562:553:554:555:576:564:568:569:570:571:572:573:574:575:565:566:567:589:577:581:582:583:584:585:586:587:588:578:580:593:590:591:613:592,Valerio Tramutoli, ,https://orcid.org/0000-0003-3875-7909
63,756:792:760:757:758:759:764:761:762:763:771:765:766:767:768:769:770:776:772:773:774:775:779:777:778:783:780:781:790:784:787:785:786:791:788:789:803:793:795:796:797:798:799:800:801:802:794:839:807:804:805:806:812:819:813:814:815:816:817:828:820:821:822:823:824:825:826:827:831:829:830:838:832:833:834:835:836:837:782:871:808:809:810:811:818,Veronika Krieger, ,https://www.linkedin.com/in/veronika-krieger-a443b4150/?locale=de_DE
