Id,Concepts,Name,Description,Url
4,236,Abrahart R. J. and See - M.L.(2017). GeoComputation. 2nd ed. CRC Press,ISBN: 978-1138077256,http://books.google.com/books?isbn=9781138077256
17,458,Albrecht - F. - et al. (2018). Providing data quality information for remote sensing applications. Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci. - XLII-3 - 15-22. doi:10.5194/isprs-archives-XLII-3-15-2018, , 
18,446,Albrecht - F. - et al. (2018). Providing data quality information for remote sensing applications. Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci. - XLII-3 - 15-22. doi:10.5194/isprs-archives-XLII-3-15-2018, , 
19,452,Albrecht - F. - et al. (2018). Providing data quality information for remote sensing applications. Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci. - XLII-3 - 15-22. doi:10.5194/isprs-archives-XLII-3-15-2018, ,https://doi.org/10.5194/isprs-archives-XLII-3-15-2018
21,350,Alkema - D. - Bijker - W. - Sharifi - A. - Vekerdy - Z. - & Verhoef - W. (2012). Data integration. In V. A. Tolpekin & A. Stein (Eds.) - ITC Educational Textbook Series: University of Twente - Faculty of Geo-Information Science and Earth Observation (ITC)., ,https://issuu.com/itc-utwente/docs/corebook2013_11_dataintegration
33,554,Arnold - D. (2018) Field Guide to Infrared Systems. Detectors - and FPAs - Third Edition, , 
35,351,Augustin - H. - Sudmanns - M. - Tiede - D. - Lang - S. - & Baraldi - A. (2019). Semantic Earth observation data cubes. Data - 4(3) - pp. 102-115. doi:10.3390/data4030102, ,https://doi.org/10.3390/data4030102
39,552,B. D. Guenther - Modern Optics - Oxford University Press - 2018, , 
43,535,Bailin - Y. - & Xingli - W. (1991). Spectral reflectance features of rocks and ores and their applications. Chinese journal of geochemistry - 10(2) - 188-195. doi:10.1007/BF02837719, ,https://link.springer.com/article/10.1007/BF02837719
44,468,Bailo - D. - Paciello - R. - Sbarra - M. - Rabissoni - R. - Vinciarelli - V. - & Cocco - M. (2020). Perspectives on the Implementation of FAIR Principles in Solid Earth Research Infrastructures. Frontiers in Earth Science - 8, , 
45,720,Ball David W. (2006).  Field Guide to Spectroscopy  SPIE Optical Engineering Press:  Bellingham - WA.  2006 - 124 pp., , 
46,643,Bamler - R. - Hartl - P. Synthetic Aperture Radar interferometry. Inverse Probl. 1998 - 14 - R1 R54., , 
51,351,Baraldi - A. (2011). Satellite Image Automatic Mapper&#8482; (SIAM&#8482; ) - A Turnkey Software Executable for Automatic Near Real-Time Multi-Sensor Multi-Resolution Spectral Rule-Based Preliminary Classification of Spaceborne Multi-Spectral Images. Recent Patents on Space Technology (Discontinued) - 1(2) - 81-106. doi:http://dx.doi.org/10.2174/1877611611101020081, ,http://dx.doi.org/10.2174/1877611611101020081
56,458,Barsi - Á. - Kugler - Z. - Juhász - A. - Szabó - G. - Batini - C. - Abdulmuttalib - H. - Huang - G. - & Shen - H. (2019). Remote sensing data quality model: from data sources to lifecycle phases. International Journal of Image and Data Fusion - 10 - 280-299, , 
58,458,Batini et al. (2017). Data quality in remote sensing. Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci. - XLII-2/W7 - 447-453. doi:10.5194/isprs-archives-XLII-2-W7-447-2017, , 
59,448,Batini et al. (2017). Data quality in remote sensing. Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci. - XLII-2/W7 - 447-453. doi:10.5194/isprs-archives-XLII-2-W7-447-2017, , 
61,458,Batini - C. (2016). Data and information quality : dimensions - principles and techniques. New York - NY: Springer Berlin Heidelberg., ,https://www.springer.com/gp/book/9783319241043
63,236,Batty - M. (1976). Urban modeling: Algorithms - calibrations - predictions. Cambridge - UK: Cambridge University Press.,ISBN number: 9780521208116,http://books.google.com/books?isbn=9780521208116
64,236,Batty - M. (2005). Agents - cells - and cities: New representational models for simulating multiscale urban dynamics. Environment and Planning A - 37 - 1373-1394., ,http://dx.doi.org/10.1068/a3784
68,704,Baumann - P. (2019). Aerial Photography: History and Georeferencing. Wilson - J.P. (Ed.) The Geographic Information Science & Technology Body of Knowledge (2nd Quarter 2019 Edition), ,https://doi.org/10.22224/gistbok/2019.2.5
81,426,Berk - A. - Conforti - P. - Kennett - R. - Perkins - T. - Hawes - F. - & Bosch - J. v. d. (2014). MODTRAN® 6: A major upgrade of the MODTRAN® radiative transfer code. Paper presented at the 2014 6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS)., ,https://ieeexplore.ieee.org/document/8077573
106,552,Born - M. - & Wolf - E. (2003).  Principles of Optics. Cambridge University Press., , 
114,391,Breiman L - Friedman JH - Olshen RA - Sotne CJ (1984) Classification and regression trees. Wadsworth - Belmont, , 
