Id,Name,Source,Target
290,IS_SUBCONCEPT_OF,267,270
423,IS_PREREQUISITE_OF,517,270
424,IS_PREREQUISITE_OF,517,315
432,IS_SUBCONCEPT_OF,518,530
518,(PROPOSED_RELATION),571,426
522,IS_PREREQUISITE_OF,574,703
523,IS_PREREQUISITE_OF,574,706
561,IS_SUBCONCEPT_OF,600,643
564,IS_SUBCONCEPT_OF,632,663
565,IS_SUBCONCEPT_OF,632,530
566,IS_SUBCONCEPT_OF,604,632
568,IS_SUBCONCEPT_OF,605,632
580,IS_SUBCONCEPT_OF,622,632
588,IS_SUBCONCEPT_OF,662,663
597,IS_SUBCONCEPT_OF,648,662
625,IS_PREREQUISITE_OF,643,816
626,IS_SUBCONCEPT_OF,643,662
637,IS_PREREQUISITE_OF,703,753
638,IS_PREREQUISITE_OF,703,723
640,IS_SUBCONCEPT_OF,703,270
641,IS_SUBCONCEPT_OF,703,664
642,IS_SUBCONCEPT_OF,665,703
643,IS_SUBCONCEPT_OF,676,703
644,(PROPOSED_RELATION),676,538
667,IS_SUBCONCEPT_OF,679,662
668,IS_SUBCONCEPT_OF,679,663
669,IS_SUBCONCEPT_OF,679,703
676,IS_SIMILAR_TO,723,753
677,IS_SUBCONCEPT_OF,723,664
678,IS_SUBCONCEPT_OF,704,723
681,IS_SUBCONCEPT_OF,706,723
702,IS_SUBCONCEPT_OF,722,723
704,IS_SUBCONCEPT_OF,720,722
705,IS_SUBCONCEPT_OF,720,340
708,IS_SUBCONCEPT_OF,752,664
709,IS_SUBCONCEPT_OF,724,752
710,IS_SUBCONCEPT_OF,729,752
771,IS_PREREQUISITE_OF,340,356
773,IS_SUBCONCEPT_OF,334,340
782,IS_SUBCONCEPT_OF,338,340
786,IS_SUBCONCEPT_OF,351,315
795,IS_SUBCONCEPT_OF,350,351
800,IS_SUBCONCEPT_OF,352,356
828,IS_SUBCONCEPT_OF,390,391
866,IS_SUBCONCEPT_OF,426,334
886,IS_SUBCONCEPT_OF,458,315
916,IS_SUBCONCEPT_OF,468,315
920,IS_SUBCONCEPT_OF,464,468
927,IS_SUBCONCEPT_OF,741,752
937,IS_SUBCONCEPT_OF,753,664
1095,IS_SUBCONCEPT_OF,695,703
1127,IS_SUBCONCEPT_OF,517,594
1128,IS_SUBCONCEPT_OF,530,594
1149,IS_PREREQUISITE_OF,514,535
1150,IS_SUBCONCEPT_OF,514,517
