Id,Name,Concepts
3,Analyse and understand environmental impact / consequences,762
26,Apply atmospheric correction to extract Ocean Colour from EO imagery,334
38,Apply InSAR technique,643
43,Apply Minimum Noise Fraction (MNF) to reduce the number of bands in a hyperspectral image,336
48,Apply or develop formal systems for describing continuous spatio-temporal processes,110
54,Apply radiative transfer modelling to retrieve inherent optical properties (IOP) from Ocean Colour reflectance values,426
55,Apply rational polynomial coefficients (RPCs) to refine georeference of satellite images,322
77,Assess areas threatened by wildfires,814
80,Assess changes to urban and rural areas,790
92,Assess the involvement of non-GIS companies (e.g. - Microsoft - Google) in the geospatial industry,504
97,Atmospherically correct remotely sensed data to derive bottom of atmosphere (BOA) reflectance values from TOA data with the use of an appropriate radiative transfer modelling technique,334
116,Calibrate a linear combination model by adjusting weights using a test data set,54
117,Categorize different types of changes that can be identified from multitemporal images,363
126,Choose and apply a method for atmospheric radiative transfer modelling like ATCOR,426
159,Compare and contrast the concepts of continuants (entities) and occurrents (events),110
161,Compare and contrast the concepts of event and process,110
169,Compare and contrast the missions - histories - constituencies - and activities of professional organizations including Association of American Geographers (AAG) - America Society for Photogrammetry and Remote Sensing (ASPRS) ...,503
176,Compare and contrast the terms multi-criteria evaluation - weighted linear combination - and site suitability analysis,54
191,Compare different error metrics that are based on the error matrix,439
196,Compare different strategies of data assimilation,351
203,Compare one optical EO method with a SAR method for landslide mapping and explain their differences,816
204,Compare reflectance measurements from the field to reflectance values in radiometrically pre-processed EO data,720
276,Create an integrated population distribution map from census data and EO-based land use classification,350
284,Create initial weights using the analytical hierarchy process (AHP),54
400,Demonstrate the relationships among measured multi-spectral radiation and specific chemical (e.g. composition) and physical (e.g. temperature - pressure - etc.) properties of the observed matter.,518
407,Derive the Stefan-Boltzman Law  from the Planck's one,514
413,Describe a simple process model that would generate a given set of spatial patterns,55
421,Describe atmospheric transmittance in the optical spectral range,573
453,Describe particular events or processes in terms of identity - categories - attributes - locations - etc.,110
474,Describe the actor role that entities and fields play in events and processes,110
493,Describe the data quality dimensions of the main remote sensing lifecycle phases,458
515,Describe the implementation of an ordered weighting scheme in a multiple-criteria aggregation,54
516,Describe the importance of geometric correction when using Earth Observation data,327
522,Describe the main branch of physycs relevant to the study of  e.m. radiation and its interaction with the matter in the optical range,594
535,Describe the role of infrastructures for sharing remote sensing data products,468
543,Describe the spectral regions where Mineral and Rocks exhibit their main signatures,535
547,Describe the U.S. geospatial industry including vendors - software - hardware and data,504
552,Describe three applications of geospatial technology for different workforce domains (e.g. - first responders - forestry - water resource management - facilities management),504
577,Design and test an EO-based workflow for landslide mapping,816
602,Determine which method to use to combine criteria e.g. - linear - multiplication,54
619,Develop strategies and policies for energy and mineral resources,762
646,Differentiate between contributing factors and constraints in a multi-criteria application,54
649,Differentiate between deterministic and stochastic spatial process models,55
681,Discuss advantages and disadvantages of passive and active sensors,676
684,Discuss an example of using a radar altimeter,679
